Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank
2024,QN1306,Springfield Gardens (South)-Brookville,-162979.805809605,0.09,0.09,0.12,4.90125403436956,119
2024,QN1307,Rosedale,16308.3495667464,0.05,0.07,0.13,4.38417865738675,161
2024,QN1401,Far Rockaway-Bayswater,196153.687897905,0.15,0.10,0.15,5.63292734565265,56
2024,QN1402,Rockaway Beach-Arverne-Edgemere,130908.311916176,0.13,0.08,0.12,4.99072347684533,110
2024,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,527585.881659528,0.18,0.06,0.08,5.11336780588484,100
2024,SI0101,St. George-New Brighton,-240344.337733359,0.07,0.09,0.12,4.53664803033312,150
2024,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,-1901957.71970985,0.09,0.07,0.14,2.81165851006605,192
2024,SI0103,Rosebank-Shore Acres-Park Hill,-125099.673530137,0.08,0.08,0.12,4.51991545603728,152
2024,SI0104,West New Brighton-Silver Lake-Grymes Hill,211285.981123685,0.13,0.05,0.10,4.61628664167932,140
2024,SI0105,Westerleigh-Castleton Corners,692399.170715199,0.11,0.04,0.09,5.20485972805789,91
2024,SI0106,Port Richmond,-731251.975010902,0.13,0.09,0.15,4.15646402557667,175
2024,SI0107,Mariner's Harbor-Arlington-Graniteville,558873.90870492,0.11,0.07,0.13,5.2628293585321,85
2024,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,643446.110165481,0.12,0.05,0.12,5.1766599171394,95
2024,SI0202,New Dorp-Midland Beach,503396.999258581,0.08,0.05,0.16,5.12692924729461,99
2024,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,972425.891568834,0.24,0.06,0.11,5.41285658388738,74
2024,SI0204,New Springville-Willowbrook-Bulls Head-Travis,1414969.7643467,0.16,0.05,0.11,5.73802773766218,53
2024,SI0301,Oakwood-Richmondtown,350084.031445635,0.09,0.06,0.09,5.08943033518437,102
2024,SI0302,Great Kills-Eltingville,626867.927335842,0.08,0.05,0.08,4.67062148507492,135
2024,SI0303,Arden Heights-Rossville,401549.061887008,0.06,0.05,0.08,4.4403027640458,157
2024,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,760334.133115406,0.10,0.03,0.07,4.60045211174574,143
2024,SI0305,Tottenville-Charleston,479338.208041954,0.14,0.01,0.07,4.33856004796434,164
2023,BK0101,Greenpoint,738933.793,0.11,0.07,0.12,5.64358981908201,69
2023,BK0102,Williamsburg,1091178.236,0.12,0.06,0.13,6.19005506507175,35
2023,BK0103,South Williamsburg,2029566.807,0.23,0.08,0.08,7.35344170734552,5
2023,BK0104,East Williamsburg,1585135.786,0.18,0.07,0.11,7.0833727724901,10
2023,BK0201,Brooklyn Heights,228539.2031,0.08,0.05,0.08,4.71898605467515,152
